output	correctOutput	line

850244170	64459067	1
688895787	548379786	2
923214362	325499312	3
989066945	23821168	4
444897887	12869318	5
63149765	52325898	6
223221714	906007823	7
527072796	506627454	8
798939951	825237319	9
468973490	249299348	10
24030667	891611160	11
84704990	110676382	12
604191929	843719129	13
215520940	284718541	14
382432945	404205073	15
966155064	440167008	16
308181262	672635722	17
466056265	758549197	18
219182952	769855593	19
402162782	661718868	20
518148206	869889098	21
829337760	360121165	22
137800348	984545913	23
956671720	522528961	24
22473024	746910491	25
432511127	559829641	26
483617954	904823885	27
156600250	659136986	28
492249250	52720236	29
453306889	70046234	30
7193954	951194937	31
238666119	449751780	32
920268746	663350759	33
209860814	169936547	34
441675118	931933824	35
4533733	920879042	36
181468914	37245465	37
644218199	167428649	38
784873559	928294214	39
875586745	831828666	40
372165487	467732331	41
520395777	466947341	42
698319332	995913727	43
234243203	254959647	44
939656115	51482496	45
204237973	68919441	46
741530905	753042849	47
353778715	90756463	48
396811470	876952028	49
164708967	163666501	50
458764923	966779270	51
318121676	481683403	52
700796015	727493328	53
242777492	139898456	54
627833988	37198134	55
51874564	758165764	56
378224301	79532311	57
967907082	199418802	58
990695311	820918680	59
237527895	551534336	60
564681796	860841502	61
861853467	732813564	62
181816886	943782692	63
796696445	963347964	64
413059079	46507441	65
630162851	907976214	66
139011406	59947483	67
342403402	157048597	68
487543738	275975392	69
382434111	738437422	70
901117772	211813859	71
76862553	486256031	72
139597258	747970850	73
769686333	644514801	74
938539885	268407752	75
439871497	784302195	76
189014625	409993116	77
809500979	944394770	78
767438770	414907	79
908994618	175443444	80
121539256	717557046	81
495838630	264074585	82
738213297	755490265	83
291662012	844855403	84
852239709	867926742	85
345044236	154945525	86
980533879	766530397	87
31690580	288006505	88
660585560	222456313	89
536113999	467836418	90
426027684	695177667	91
845324645	517791910	92
207513524	392611560	93
22537135	994841879	94
573790087	668453114	95
763538763	765782285	96
459736555	925170033	97
744437114	617390541	98
496454139	303610014	99
38759489	839784068	100
523339485	686456404	101
928508079	845649736	102
41161578	25593697	103
990379737	700508112	104
986758418	237616157	105
529641702	765355098	106
129253367	421492946	107
384201609	995370756	108
296902722	214897305	109
106807803	694501873	110
128433761	228349919	111
518315265	305141927	112
811410588	981410069	113
406770239	134133368	114
779255780	972619399	115
278788744	302551070	116
660671410	891292271	117
458347988	856271811	118
520840195	675628043	119
264423055	698579742	120
646545238	651932627	121
896553150	771469188	122
609302737	539383064	123
706229976	218519587	124
865017031	872599007	125
762212649	85867007	126
373782299	408016262	127
301599223	190513337	128
570086258	282329314	129
775895020	853176953	130
273242002	403241232	131
184611269	329819751	132
700498828	486018353	133
209496017	85843503	134
867140957	335991938	135
192470922	383790404	136
755188532	507155738	137
376361902	812794710	138
569083606	829455135	139
870053694	408081892	140
545431035	910936877	141
645253846	853450932	142
943421186	657961513	143
19715290	113975759	144
322189502	397316066	145
773288315	849378870	146
857513083	99885657	147
537995309	602865688	148
905268633	259135077	149
476653724	951183952	150
396397097	953467562	151
880141701	321368928	152
788499659	707892982	153
657359844	171630160	154
950732729	273019981	155
314384595	573752487	156
582771257	116992028	157
783486852	389806205	158
683501726	354101284	159
739538426	661466535	160
682945755	414448168	161
297117952	540950769	162
466588219	562478690	163
193564108	501749658	164
776035374	174065295	165
299750302	868995757	166
651527610	323012137	167
169443885	92301186	168
724740052	662531782	169
512715749	223165960	170
692120277	332635118	171
579712845	46148167	172
662983584	744775735	173
710218269	229703636	174
617269197	279103832	175
976622951	66725144	176
469110710	128084319	177
218745804	164055470	178
102798952	827699563	179
392670034	975429542	180
248028717	654498105	181
124067952	650742334	182
104739373	694456723	183
776440160	704371300	184
170935709	265458707	185
613101900	147052881	186
27341007	287467365	187
347962310	322115404	188
896646283	757203222	189
874444610	219651322	190
93845291	36839694	191
492866112	723307978	192
459300841	848215666	193
762916430	12695606	194
494371219	903769097	195
34709458	996222668	196
