left : 0 |  right : 1 |  res : 0 |  (left & right) : 0
left : 0 |  right : 2 |  res : 0 |  (left & right) : 0
left : 0 |  right : 3 |  res : 0 |  (left & right) : 0
left : 0 |  right : 4 |  res : 0 |  (left & right) : 0
left : 0 |  right : 5 |  res : 0 |  (left & right) : 0
left : 0 |  right : 6 |  res : 0 |  (left & right) : 0
left : 0 |  right : 7 |  res : 0 |  (left & right) : 0
left : 0 |  right : 8 |  res : 0 |  (left & right) : 0
left : 0 |  right : 9 |  res : 0 |  (left & right) : 0
left : 0 |  right : 10 |  res : 0 |  (left & right) : 0
left : 1 |  right : 2 |  res : 0 |  (left & right) : 0
left : 1 |  right : 3 |  res : 0 |  (left & right) : 1
left : 1 |  right : 4 |  res : 0 |  (left & right) : 0
left : 1 |  right : 5 |  res : 0 |  (left & right) : 1
left : 1 |  right : 6 |  res : 0 |  (left & right) : 0
left : 1 |  right : 7 |  res : 0 |  (left & right) : 1
left : 1 |  right : 8 |  res : 0 |  (left & right) : 0
left : 1 |  right : 9 |  res : 0 |  (left & right) : 1
left : 1 |  right : 10 |  res : 0 |  (left & right) : 0
left : 2 |  right : 3 |  res : 2 |  (left & right) : 2
left : 2 |  right : 4 |  res : 0 |  (left & right) : 0
left : 2 |  right : 5 |  res : 0 |  (left & right) : 0
left : 2 |  right : 6 |  res : 0 |  (left & right) : 2
left : 2 |  right : 7 |  res : 0 |  (left & right) : 2
left : 2 |  right : 8 |  res : 0 |  (left & right) : 0
left : 2 |  right : 9 |  res : 0 |  (left & right) : 0
left : 2 |  right : 10 |  res : 0 |  (left & right) : 2
left : 3 |  right : 4 |  res : 0 |  (left & right) : 0
left : 3 |  right : 5 |  res : 0 |  (left & right) : 1
left : 3 |  right : 6 |  res : 0 |  (left & right) : 2
left : 3 |  right : 7 |  res : 0 |  (left & right) : 3
left : 3 |  right : 8 |  res : 0 |  (left & right) : 0
left : 3 |  right : 9 |  res : 0 |  (left & right) : 1
left : 3 |  right : 10 |  res : 0 |  (left & right) : 2
left : 4 |  right : 5 |  res : 4 |  (left & right) : 4
left : 4 |  right : 6 |  res : 4 |  (left & right) : 4
left : 4 |  right : 7 |  res : 4 |  (left & right) : 4
left : 4 |  right : 8 |  res : 0 |  (left & right) : 0
left : 4 |  right : 9 |  res : 0 |  (left & right) : 0
left : 4 |  right : 10 |  res : 0 |  (left & right) : 0
left : 5 |  right : 6 |  res : 4 |  (left & right) : 4
left : 5 |  right : 7 |  res : 4 |  (left & right) : 5
left : 5 |  right : 8 |  res : 0 |  (left & right) : 0
left : 5 |  right : 9 |  res : 0 |  (left & right) : 1
left : 5 |  right : 10 |  res : 0 |  (left & right) : 0
left : 6 |  right : 7 |  res : 6 |  (left & right) : 6
left : 6 |  right : 8 |  res : 0 |  (left & right) : 0
left : 6 |  right : 9 |  res : 0 |  (left & right) : 0
left : 6 |  right : 10 |  res : 0 |  (left & right) : 2
left : 7 |  right : 8 |  res : 0 |  (left & right) : 0
left : 7 |  right : 9 |  res : 0 |  (left & right) : 1
left : 7 |  right : 10 |  res : 0 |  (left & right) : 2
left : 8 |  right : 9 |  res : 8 |  (left & right) : 8
left : 8 |  right : 10 |  res : 8 |  (left & right) : 8
left : 9 |  right : 10 |  res : 8 |  (left & right) : 8
